Name;Description;Geometry;geo_point_2d
"Europakruispunt - Carrefour de l'Europe
Voetgangerszone - Fietszone / Piétonnier - Zone cyclable";Europakruispunt - Carrefour de l'Europe<br>Voetgangerszone - Fietszone / Piétonnier - Zone cyclable;"{""type"": ""LineString"", ""coordinates"": [[4.3566048, 50.8460251], [4.3565565, 50.8456965], [4.3564653, 50.8455034]]}";50.8457587164,4.35655335335
"St-J. Nepucemusstraat - rue St-J. Népucème
Voetgangerszone - Fietszone / Piétonnier - Zone cycliste";St-J. Nepucemusstraat - rue St-J. Népucème<br>Voetgangerszone - Fietszone / Piétonnier - Zone cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3539038, 50.8558569], [4.3543893, 50.8557214]]}";50.85578915,4.35414655
"Moutstraat- rue de la Braie
Voetgangerszone/Fietszone";Moutstraat- rue de la Braie<br>Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.344535, 50.850533], [4.345801, 50.84969]]}";50.8501115,4.345168
Haringstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.35285, 50.846786], [4.353445, 50.8472]]}";50.846993,4.3531475
H. Mausstraat - rue H. Mauss;;"{""type"": ""LineString"", ""coordinates"": [[4.349403, 50.848105], [4.35086, 50.847473]]}";50.847789,4.3501315
"Reebokstraat - rue du Chevreuil
Voetgangerzone - Fietszone / Piétonnier zone Cycyliste";Reebokstraat - rue du Chevreuil<br>Voetgangerzone - Fietszone / Piétonnier zone Cycyliste;"{""type"": ""LineString"", ""coordinates"": [[4.345943, 50.8376767], [4.3450955, 50.8380104]]}";50.83784355,4.34551925
Predikherenstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.354998, 50.848793], [4.35482, 50.848628], [4.354672, 50.848486], [4.354461, 50.848275], [4.354222, 50.848034]]}";50.8484169657,4.35460663974
"rue du Chien Marin
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";rue du Chien Marin<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3466029, 50.8513815], [4.3477106, 50.8519047]]}";50.8516431,4.34715675
Koolstraat - rue des Choux;;"{""type"": ""LineString"", ""coordinates"": [[4.355964, 50.852729], [4.356699, 50.852443]]}";50.852586,4.3563315
"Grasmarkt - Marché aux herbes
Voetgangerszone/Fietszone";Grasmarkt - Marché aux herbes<br>Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.354383, 50.846754], [4.35436, 50.846702], [4.354366, 50.846672], [4.354582, 50.846411], [4.354667, 50.84633], [4.3547329999999995, 50.846304]]}";50.8465074167,4.35451382873
"Naamloos - Sans nom
Voetgangerszone - Fietszone / Piétonnier - Zone cyclable";Naamloos - Sans nom<br>Voetgangerszone - Fietszone / Piétonnier - Zone cyclable;"{""type"": ""LineString"", ""coordinates"": [[4.3632339, 50.8477965], [4.363203, 50.8477228], [4.3632272, 50.8476525]]}";50.8477249491,4.36321683545
"Papenvest - rue Rempart des Moinse
Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste";Papenvest - rue Rempart des Moinse<br>Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3427405, 50.8487601], [4.3425554, 50.8483977]]}";50.8485789,4.34264795
Martelarenplein - place des Marthyrs;;"{""type"": ""LineString"", ""coordinates"": [[4.356699, 50.852443], [4.355693, 50.851368]]}";50.8519055,4.356196
Boterstraat- rue au Beurre;;"{""type"": ""LineString"", ""coordinates"": [[4.349816, 50.848486], [4.350044, 50.848374], [4.351224, 50.847924]]}";50.8481960564,4.35051610784
"de Brouckère
Voetgangerszone - Fietszone / Piétonnier - Zone cyclable";de Brouckère<br>Voetgangerszone - Fietszone / Piétonnier - Zone cyclable;"{""type"": ""LineString"", ""coordinates"": [[4.3523347, 50.8509768], [4.3533272, 50.8520402]]}";50.8515085,4.35283095
Boterstraat - rue au Beurre;;"{""type"": ""LineString"", ""coordinates"": [[4.351109, 50.847744], [4.35153, 50.84758], [4.352034, 50.84731], [4.352128, 50.84726], [4.352217, 50.847194], [4.3522359999999995, 50.847148], [4.352227, 50.847133]]}";50.8474739657,4.35170259095
Koniginnestraat - rue des reines;;"{""type"": ""LineString"", ""coordinates"": [[4.353239, 50.849761], [4.354448, 50.849207]]}";50.849484,4.3538435
"Handeslkaai - Quai du Commerce
Voetgangerszone - Fietszone / Piétonnier - Zone Cyclable";Handeslkaai - Quai du Commerce<br>Voetgangerszone - Fietszone / Piétonnier - Zone Cyclable;"{""type"": ""LineString"", ""coordinates"": [[4.3487084, 50.8573469], [4.3474585, 50.855762]]}";50.85655445,4.34808345
